SiteName;Port;HostHeader;BindingInformation;CertificateHash;CertificateSubject;CertificateIssuer;CertificateExpiry;CertificateFriendlyName;CertificateStatus;CertificateType;BindingType;Server
Site_commercial;443;commercial.optimedit.eu;*:443:commercial.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-01.optimedit.eu
Site_commercial;8069;commercial.optimedit.eu;*:8069:commercial.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8069);OPT-IIS-01.optimedit.eu
Site_client;443;client.optimedit.eu;*:443:client.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-01.optimedit.eu
Site_client;8070;client.optimedit.eu;*:8070:client.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8070);OPT-IIS-01.optimedit.eu
Site_juridique;443;juridique.optimedit.eu;*:443:juridique.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-01.optimedit.eu
Site_juridique;8071;juridique.optimedit.eu;*:8071:juridique.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8071);OPT-IIS-01.optimedit.eu
Site_blog;443;blog.optimedit.eu;*:443:blog.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-01.optimedit.eu
Site_blog;8072;blog.optimedit.eu;*:8072:blog.optimedit.eu;471E7AFD0B2E289BA796E958065BBAC289480D57;CN=opt-iis-01.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;07/11/2026 23:34;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8072);OPT-IIS-01.optimedit.eu
Site_direction;443;direction.optimedit.eu;*:443:direction.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_direction;8060;direction.optimedit.eu;*:8060:direction.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8060);OPT-IIS-02.optimedit.eu
Site_comptabilite;443;comptabilite.optimedit.eu;*:443:comptabilite.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_comptabilite;8061;comptabilite.optimedit.eu;*:8061:comptabilite.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8061);OPT-IIS-02.optimedit.eu
Site_paie;443;paie.optimedit.eu;*:443:paie.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS Public (443);OPT-IIS-02.optimedit.eu
Site_paie;8062;paie.optimedit.eu;*:8062:paie.optimedit.eu;901B1A3C83B3426A9711000C10DFC327AD064AC8;CN=opt-iis-02.optimedit.eu;CN=Optimedit-CA3, DC=optimedit, DC=eu;08/11/2026 13:29;IIS-SAN-Backend;OK;ADCS (Interne);HTTPS ARR (8062);OPT-IIS-02.optimedit.eu
